name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
The Forest,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Singleplayer, Atmospheric, Simulation, Gore, Realistic, Indie, Zombies, Early Access",2018-04-30,Endnight Games Ltd,Endnight Games Ltd,Overwhelmingly Positive,"(472,878)",188898,https://store.steampowered.com/app/242760/The_Forest?snr=1_category_4_action_100727
Among Us,An online and local party game of teamwork and betrayal for 4-15 players...in space!,"Multiplayer, Online Co-Op, Social Deduction, Space, Survival, 2D, Funny, Psychological, Co-op, Party Game, Cartoony, Local Multiplayer, Casual, Action, PvP, Sci-fi, Minigames, Top-Down, Aliens, Colorful",2018-11-16,Innersloth,Innersloth,Very Positive,"(606,700)",406705,https://store.steampowered.com/app/945360/Among_Us?snr=1_category_4_action_100727
Portal 2,The 'Perpetual Testing Initiative' has been expanded to allow you to design co-op puzzles for you and your friends!,"Platformer, Puzzle, First-Person, Dark Humor, Story Rich, Puzzle Platformer, Funny, Female Protagonist, 3D Platformer, Action-Adventure, Action, FPS, Co-op, Physics, Sci-fi, Level Editor, Science, Comedy, Atmospheric, Adventure",2011-04-18,Valve,Valve,Overwhelmingly Positive,"(335,633)",184371,https://store.steampowered.com/app/620/Portal_2?snr=1_category_4_action_100727
Sekiro™: Shadows Die Twice - GOTY Edition,"Game of the Year - The Game Awards 2019 Best Action Game of 2019 - IGN Carve your own clever path to vengeance in the award winning adventure from developer FromSoftware, creators of Bloodborne and the Dark Souls series. Take Revenge. Restore Your Honor. Kill Ingeniously.","Souls-like, Difficult, Action, Singleplayer, Ninja, Stealth, Adventure, Third Person, Open World, Story Rich, Violent, Atmospheric, Assassin, Dark Fantasy, Hack and Slash, RPG, Gore, Great Soundtrack, Rhythm, Dark",2019-03-21,"FromSoftware, Inc.","Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), ???? (Asia)",Overwhelmingly Positive,"(217,669)",84656,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition?snr=1_category_4_action_100727
PAYDAY 2,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.","Co-op, Action, FPS, Heist, Multiplayer, Looter Shooter, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation",2013-08-13,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,Very Positive,"(431,019)",261457,https://store.steampowered.com/app/218620/PAYDAY_2?snr=1_category_4_action_100727
Hades,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.","Action Roguelike, Roguelite, Hack and Slash, Indie, Mythology, Action, Roguelike, Great Soundtrack, Singleplayer, RPG, Story Rich, Dungeon Crawler, Replay Value, Isometric, Difficult, Action RPG, Hand-drawn, Atmospheric, Perma Death, LGBTQ+",2020-09-17,Supergiant Games,Supergiant Games,Overwhelmingly Positive,"(247,249)",135792,https://store.steampowered.com/app/1145360/Hades?snr=1_category_4_action_100727
Dying Light,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.","Zombies, Survival Horror, Horror, Online Co-Op, Open World, Parkour, First-Person, Survival, Open World Survival Craft, Gore, FPS, Action, PvE, Stealth, PvP, Post-apocalyptic, Story Rich, Multiplayer, Hack and Slash, Action RPG",2015-01-26,Techland,Techland,Overwhelmingly Positive,"(315,018)",115682,https://store.steampowered.com/app/239140/Dying_Light?snr=1_category_4_action_100727
Hollow Knight,"Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style.","Metroidvania, Souls-like, Platformer, Great Soundtrack, Difficult, 2D, Indie, Singleplayer, Atmospheric, Exploration, Adventure, Story Rich, Hand-drawn, Action, Multiple Endings, Dark Fantasy, Open World, Cute, Controller, Side Scroller",2017-02-24,Team Cherry,Team Cherry,Overwhelmingly Positive,"(329,268)",136283,https://store.steampowered.com/app/367520/Hollow_Knight?snr=1_category_4_action_100727
Unturned,"Youre a survivor in the zombie infested ruins of society, and must work with your friends and forge alliances to remain among the living.","Free to Play, Survival, Zombies, Multiplayer, Open World, Co-op, Sandbox, Crafting, Shooter, Adventure, Post-apocalyptic, First-Person, Looter Shooter, Singleplayer, Action, FPS, Massively Multiplayer, Indie, Atmospheric, Casual",2017-07-07,Smartly Dressed Games,Smartly Dressed Games,Very Positive,"(546,080)",215843,https://store.steampowered.com/app/304930/Unturned?snr=1_category_4_action_100727
Deep Rock Galactic,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.","Dwarf, Co-op, PvE, FPS, Procedural Generation, Class-Based, Shooter, Exploration, First-Person, Loot, Sci-fi, Space, Action, Atmospheric, Looter Shooter, Combat, Survival, Horror, Dark, Action Roguelike",2020-05-13,Ghost Ship Games,Coffee Stain Publishing,Overwhelmingly Positive,"(247,390)",187273,https://store.steampowered.com/app/548430/Deep_Rock_Galactic?snr=1_category_4_action_100727
Valheim,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!","Open World Survival Craft, Survival, Online Co-Op, Open World, Multiplayer, Building, Crafting, Exploration, Base Building, Co-op, Difficult, Adventure, Mythology, Action, Sandbox, PvE, Early Access, Singleplayer, Third Person, Indie",2021-02-02,Iron Gate AB,Coffee Stain Publishing,Very Positive,"(397,845)",271721,https://store.steampowered.com/app/892970/Valheim?snr=1_category_4_action_100727
Titanfall® 2,"Respawn Entertainment gives you the most advanced titan technology in its new, single player campaign & multiplayer experience. Combine & conquer with new titans & pilots, deadlier weapons, & customization and progression systems that help you and your titan flow as one unstoppable killing force.","FPS, Mechs, Multiplayer, Shooter, Action, Singleplayer, Parkour, Sci-fi, First-Person, Futuristic, PvP, Combat, Military, Fast-Paced, Team-Based, Time Travel, Hero Shooter, Violent, Co-op, Gore",2016-10-28,Respawn Entertainment,Electronic Arts,Overwhelmingly Positive,"(206,259)",89718,https://store.steampowered.com/app/1237970/Titanfall_2?snr=1_category_4_action_100727
Borderlands 2,The Ultimate Vault Hunter’s Upgrade lets you get the most out of the Borderlands 2 experience.,"Loot, Shooter, Action, Multiplayer, Co-op, Looter Shooter, FPS, RPG, First-Person, Funny, Comedy, Open World, Combat, Online Co-Op, Adventure, Action RPG, Dark Humor, Singleplayer, Memes, Sci-fi",2012-09-21,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Overwhelmingly Positive,"(191,558)",159122,https://store.steampowered.com/app/49520/Borderlands_2?snr=1_category_4_action_100727
ARK: Survival Evolved,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","Open World Survival Craft, Survival, Multiplayer, Open World, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie",2017-08-27,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",Very Positive,"(527,988)",310038,https://store.steampowered.com/app/346110/ARK_Survival_Evolved?snr=1_category_4_action_100727
Vampire Survivors,"Mow down thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.","Action Roguelike, Bullet Hell, Pixel Graphics, Roguelite, 2D, Indie, Vampire, Singleplayer, Casual, Arcade, Action, Roguelike, RPG, Controller, Retro, Score Attack, Dark Fantasy, Action RPG, Local Co-Op, 1980s",2022-10-20,poncle,poncle,Overwhelmingly Positive,"(223,533)",120230,https://store.steampowered.com/app/1794680/Vampire_Survivors?snr=1_category_4_action_100727
Devil May Cry 5,"The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.","Action, Hack and Slash, Great Soundtrack, Character Action Game, Demons, Spectacle fighter, Third Person, Singleplayer, Violent, Nudity, Sexual Content, Story Rich, Stylized, Difficult, Classic, Gore, Multiplayer, Controller, Adventure, Anime",2019-03-08,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Overwhelmingly Positive,"(86,656)",39742,https://store.steampowered.com/app/601150/Devil_May_Cry_5?snr=1_category_4_action_100727
Monster Hunter: World,"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.","Co-op, Multiplayer, Action, Open World, RPG, Character Customization, Third Person, Adventure, Fantasy, Difficult, Action RPG, Singleplayer, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, MMORPG, Souls-like",2018-08-08,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Very Positive,"(275,839)",153309,https://store.steampowered.com/app/582010/Monster_Hunter_World?snr=1_category_4_action_100727
Half-Life 2,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. Valves debut title wins more than 50 game-of-the-year awards on its way to being named 'Best PC Game Ever' by PC Gamer, and launches a franchise with more than eight million retail units sold...","FPS, Action, Sci-fi, Classic, Singleplayer, Story Rich, Shooter, First-Person, Adventure, Dystopian, Atmospheric, Silent Protagonist, Zombies, Physics, Aliens, Great Soundtrack, Horror, Puzzle, Multiplayer, Moddable",2004-11-16,Valve,Valve,Overwhelmingly Positive,"(159,064)",91844,https://store.steampowered.com/app/220/HalfLife_2?snr=1_category_4_action_100727
Tomb Raider,Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.,"Adventure, Action, Female Protagonist, Third Person, Singleplayer, Story Rich, Third-Person Shooter, Multiplayer, Exploration, Action-Adventure, Quick-Time Events, Atmospheric, Shooter, Puzzle, Stealth, Cinematic, Platformer, RPG, Reboot, 3D Vision",2013-03-05,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)",Overwhelmingly Positive,"(146,141)",70527,https://store.steampowered.com/app/203160/Tomb_Raider?snr=1_category_4_action_100727
Resident Evil 4,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the presidents kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.","Horror, Action, Survival Horror, Third-Person Shooter, Singleplayer, Zombies, Story Rich, Survival, Cinematic, Dark, Realistic, Remake, Gore, Resource Management, Adventure, Third Person, Psychological Horror, 3D, Violent, Action-Adventure",2023-03-24,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Overwhelmingly Positive,"(93,344)",57896,https://store.steampowered.com/app/2050650/Resident_Evil_4?snr=1_category_4_action_100727
Satisfactory,"Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven!","Base Building, Automation, Open World, Multiplayer, Crafting, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Open World Survival Craft, Simulation, Survival, First-Person, Early Access, Strategy, Sci-fi, Singleplayer, Indie",2024-09-10,Coffee Stain Studios,Coffee Stain Publishing,Overwhelmingly Positive,"(154,636)",105046,https://store.steampowered.com/app/526870/Satisfactory?snr=1_category_4_adventure_salebrowseall
Persona 3 Reload,"Dive into the Dark Hour and awaken the depths of your heart. Persona 3 Reload is a captivating reimagining of the genre-defining RPG, reborn for the modern era with cutting-edge graphics and gameplay.","JRPG, RPG, Anime, Party-Based RPG, Adventure, Turn-Based Strategy, Strategy, Dating Sim, Story Rich, Dark, Strategy RPG, Emotional, Visual Novel, Colorful, Turn-Based Combat, Great Soundtrack, Mystery, Supernatural, Detective, Multiple Endings",2024-02-01,ATLUS,SEGA,Very Positive,"(19,224)",14578,https://store.steampowered.com/app/2161700/Persona_3_Reload?snr=1_category_4_adventure_salebrowseall
Baldurs Gate 3,"Baldur’s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.","RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat, Dungeons & Dragons, CRPG, Adventure, Fantasy, Online Co-Op, Romance, Multiplayer, Sexual Content, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Nudity, Combat",2023-08-03,Larian Studios,Larian Studios,Overwhelmingly Positive,"(582,585)",403939,https://store.steampowered.com/app/1086940/Baldurs_Gate_3?snr=1_category_4_adventure_salebrowseall
